Category Code,Diagnosis Code,Full Code,Abbreviated Description,Full Description,Category Title
A491,,A491,"Streptococcal infection, unspecified site","Streptococcal infection, unspecified site","Streptococcal infection, unspecified site"
A492,,A492,"Hemophilus influenzae infection, unspecified site","Hemophilus influenzae infection, unspecified site","Hemophilus influenzae infection, unspecified site"
A493,,A493,"Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site"
A498,,A498,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site
A499,,A499,"Bacterial infection, unspecified","Bacterial infection, unspecified","Bacterial infection, unspecified"
A500,1,A5001,Early congenital syphilitic oculopathy,Early congenital syphilitic oculopathy,"Early congenital syphilis, symptomatic"
A500,2,A5002,Early congenital syphilitic osteochondropathy,Early congenital syphilitic osteochondropathy,"Early congenital syphilis, symptomatic"
A500,3,A5003,Early congenital syphilitic pharyngitis,Early congenital syphilitic pharyngitis,"Early congenital syphilis, symptomatic"
A500,4,A5004,Early congenital syphilitic pneumonia,Early congenital syphilitic pneumonia,"Early congenital syphilis, symptomatic"
A500,5,A5005,Early congenital syphilitic rhinitis,Early congenital syphilitic rhinitis,"Early congenital syphilis, symptomatic"
A500,6,A5006,Early cutaneous congenital syphilis,Early cutaneous congenital syphilis,"Early congenital syphilis, symptomatic"
A500,7,A5007,Early mucocutaneous congenital syphilis,Early mucocutaneous congenital syphilis,"Early congenital syphilis, symptomatic"
A500,8,A5008,Early visceral congenital syphilis,Early visceral congenital syphilis,"Early congenital syphilis, symptomatic"
A500,9,A5009,"Other early congenital syphilis, symptomatic","Other early congenital syphilis, symptomatic","Early congenital syphilis, symptomatic"
A501,,A501,"Early congenital syphilis, latent","Early congenital syphilis, latent","Early congenital syphilis, latent"
A502,,A502,"Early congenital syphilis, unspecified","Early congenital syphilis, unspecified","Early congenital syphilis, unspecified"
A503,0,A5030,"Late congenital syphilitic oculopathy, unspecified","Late congenital syphilitic oculopathy, unspecified",Late congenital syphilitic oculopathy
A503,1,A5031,Late congenital syphilitic interstitial keratitis,Late congenital syphilitic interstitial keratitis,Late congenital syphilitic oculopathy
A503,2,A5032,Late congenital syphilitic chorioretinitis,Late congenital syphilitic chorioretinitis,Late congenital syphilitic oculopathy
A503,9,A5039,Other late congenital syphilitic oculopathy,Other late congenital syphilitic oculopathy,Late congenital syphilitic oculopathy
A504,0,A5040,"Late congenital neurosyphilis, unspecified","Late congenital neurosyphilis, unspecified",Late congenital neurosyphilis [juvenile neurosyphilis]
A504,1,A5041,Late congenital syphilitic meningitis,Late congenital syphilitic meningitis,Late congenital neurosyphilis [juvenile neurosyphilis]
A504,2,A5042,Late congenital syphilitic encephalitis,Late congenital syphilitic encephalitis,Late congenital neurosyphilis [juvenile neurosyphilis]
A504,3,A5043,Late congenital syphilitic polyneuropathy,Late congenital syphilitic polyneuropathy,Late congenital neurosyphilis [juvenile neurosyphilis]
A504,4,A5044,Late congenital syphilitic optic nerve atrophy,Late congenital syphilitic optic nerve atrophy,Late congenital neurosyphilis [juvenile neurosyphilis]
A504,5,A5045,Juvenile general paresis,Juvenile general paresis,Late congenital neurosyphilis [juvenile neurosyphilis]
A504,9,A5049,Other late congenital neurosyphilis,Other late congenital neurosyphilis,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,1,A5051,Clutton's joints,Clutton's joints,"Other late congenital syphilis, symptomatic"
A505,2,A5052,Hutchinson's teeth,Hutchinson's teeth,"Other late congenital syphilis, symptomatic"
A505,3,A5053,Hutchinson's triad,Hutchinson's triad,"Other late congenital syphilis, symptomatic"
A505,4,A5054,Late congenital cardiovascular syphilis,Late congenital cardiovascular syphilis,"Other late congenital syphilis, symptomatic"
A505,5,A5055,Late congenital syphilitic arthropathy,Late congenital syphilitic arthropathy,"Other late congenital syphilis, symptomatic"
A505,6,A5056,Late congenital syphilitic osteochondropathy,Late congenital syphilitic osteochondropathy,"Other late congenital syphilis, symptomatic"
A505,7,A5057,Syphilitic saddle nose,Syphilitic saddle nose,"Other late congenital syphilis, symptomatic"
A505,9,A5059,"Other late congenital syphilis, symptomatic","Other late congenital syphilis, symptomatic","Other late congenital syphilis, symptomatic"
A506,,A506,"Late congenital syphilis, latent","Late congenital syphilis, latent","Late congenital syphilis, latent"
A507,,A507,"Late congenital syphilis, unspecified","Late congenital syphilis, unspecified","Late congenital syphilis, unspecified"
A509,,A509,"Congenital syphilis, unspecified","Congenital syphilis, unspecified","Congenital syphilis, unspecified"
A51,0,A510,Primary genital syphilis,Primary genital syphilis,Early syphilis
A51,1,A511,Primary anal syphilis,Primary anal syphilis,Early syphilis
A51,2,A512,Primary syphilis of other sites,Primary syphilis of other sites,Early syphilis
A513,1,A5131,Condyloma latum,Condyloma latum,Secondary syphilis of skin and mucous membranes
A513,2,A5132,Syphilitic alopecia,Syphilitic alopecia,Secondary syphilis of skin and mucous membranes
A513,9,A5139,Other secondary syphilis of skin,Other secondary syphilis of skin,Secondary syphilis of skin and mucous membranes
A514,1,A5141,Secondary syphilitic meningitis,Secondary syphilitic meningitis,Other secondary syphilis
A514,2,A5142,Secondary syphilitic female pelvic disease,Secondary syphilitic female pelvic disease,Other secondary syphilis
A514,3,A5143,Secondary syphilitic oculopathy,Secondary syphilitic oculopathy,Other secondary syphilis
A514,4,A5144,Secondary syphilitic nephritis,Secondary syphilitic nephritis,Other secondary syphilis
A514,5,A5145,Secondary syphilitic hepatitis,Secondary syphilitic hepatitis,Other secondary syphilis
A514,6,A5146,Secondary syphilitic osteopathy,Secondary syphilitic osteopathy,Other secondary syphilis
A514,9,A5149,Other secondary syphilitic conditions,Other secondary syphilitic conditions,Other secondary syphilis
A515,,A515,"Early syphilis, latent","Early syphilis, latent","Early syphilis, latent"
A519,,A519,"Early syphilis, unspecified","Early syphilis, unspecified","Early syphilis, unspecified"
A520,0,A5200,"Cardiovascular syphilis, unspecified","Cardiovascular syphilis, unspecified",Cardiovascular and cerebrovascular syphilis
A520,1,A5201,Syphilitic aneurysm of aorta,Syphilitic aneurysm of aorta,Cardiovascular and cerebrovascular syphilis
A520,2,A5202,Syphilitic aortitis,Syphilitic aortitis,Cardiovascular and cerebrovascular syphilis
A520,3,A5203,Syphilitic endocarditis,Syphilitic endocarditis,Cardiovascular and cerebrovascular syphilis
A520,4,A5204,Syphilitic cerebral arteritis,Syphilitic cerebral arteritis,Cardiovascular and cerebrovascular syphilis
A520,5,A5205,Other cerebrovascular syphilis,Other cerebrovascular syphilis,Cardiovascular and cerebrovascular syphilis
A520,6,A5206,Other syphilitic heart involvement,Other syphilitic heart involvement,Cardiovascular and cerebrovascular syphilis
A520,9,A5209,Other cardiovascular syphilis,Other cardiovascular syphilis,Cardiovascular and cerebrovascular syphilis
A521,0,A5210,"Symptomatic neurosyphilis, unspecified","Symptomatic neurosyphilis, unspecified",Symptomatic neurosyphilis
A521,1,A5211,Tabes dorsalis,Tabes dorsalis,Symptomatic neurosyphilis
A521,2,A5212,Other cerebrospinal syphilis,Other cerebrospinal syphilis,Symptomatic neurosyphilis
A521,3,A5213,Late syphilitic meningitis,Late syphilitic meningitis,Symptomatic neurosyphilis
A521,4,A5214,Late syphilitic encephalitis,Late syphilitic encephalitis,Symptomatic neurosyphilis
A521,5,A5215,Late syphilitic neuropathy,Late syphilitic neuropathy,Symptomatic neurosyphilis
A521,6,A5216,Charcot's arthropathy (tabetic),Charcot's arthropathy (tabetic),Symptomatic neurosyphilis
A521,7,A5217,General paresis,General paresis,Symptomatic neurosyphilis
A521,9,A5219,Other symptomatic neurosyphilis,Other symptomatic neurosyphilis,Symptomatic neurosyphilis
A522,,A522,Asymptomatic neurosyphilis,Asymptomatic neurosyphilis,Asymptomatic neurosyphilis
A523,,A523,"Neurosyphilis, unspecified","Neurosyphilis, unspecified","Neurosyphilis, unspecified"
A527,1,A5271,Late syphilitic oculopathy,Late syphilitic oculopathy,Other symptomatic late syphilis
A527,2,A5272,Syphilis of lung and bronchus,Syphilis of lung and bronchus,Other symptomatic late syphilis
A527,3,A5273,Symptomatic late syphilis of other respiratory organs,Symptomatic late syphilis of other respiratory organs,Other symptomatic late syphilis
A527,4,A5274,Syphilis of liver and other viscera,Syphilis of liver and other viscera,Other symptomatic late syphilis
A527,5,A5275,Syphilis of kidney and ureter,Syphilis of kidney and ureter,Other symptomatic late syphilis
A527,6,A5276,Other genitourinary symptomatic late syphilis,Other genitourinary symptomatic late syphilis,Other symptomatic late syphilis
A527,7,A5277,Syphilis of bone and joint,Syphilis of bone and joint,Other symptomatic late syphilis
A527,8,A5278,Syphilis of other musculoskeletal tissue,Syphilis of other musculoskeletal tissue,Other symptomatic late syphilis
A527,9,A5279,Other symptomatic late syphilis,Other symptomatic late syphilis,Other symptomatic late syphilis
A528,,A528,"Late syphilis, latent","Late syphilis, latent","Late syphilis, latent"
A529,,A529,"Late syphilis, unspecified","Late syphilis, unspecified","Late syphilis, unspecified"
A53,0,A530,"Latent syphilis, unspecified as early or late","Latent syphilis, unspecified as early or late",Other and unspecified syphilis
A53,9,A539,"Syphilis, unspecified","Syphilis, unspecified",Other and unspecified syphilis
A540,0,A5400,"Gonococcal infection of lower genitourinary tract, unsp","Gonococcal infection of lower genitourinary tract, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A540,1,A5401,"Gonococcal cystitis and urethritis, unspecified","Gonococcal cystitis and urethritis, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A540,2,A5402,"Gonococcal vulvovaginitis, unspecified","Gonococcal vulvovaginitis, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A540,3,A5403,"Gonococcal cervicitis, unspecified","Gonococcal cervicitis, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A540,9,A5409,Other gonococcal infection of lower genitourinary tract,Other gonococcal infection of lower genitourinary tract,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541,,A541,Gonocl infct of lower GU tract w periureth and acc glnd abcs,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,1,A5421,Gonococcal infection of kidney and ureter,Gonococcal infection of kidney and ureter,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A542,2,A5422,Gonococcal prostatitis,Gonococcal prostatitis,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A542,3,A5423,Gonococcal infection of other male genital organs,Gonococcal infection of other male genital organs,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A542,4,A5424,Gonococcal female pelvic inflammatory disease,Gonococcal female pelvic inflammatory disease,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A542,9,A5429,Other gonococcal genitourinary infections,Other gonococcal genitourinary infections,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A543,0,A5430,"Gonococcal infection of eye, unspecified","Gonococcal infection of eye, unspecified",Gonococcal infection of eye
A543,1,A5431,Gonococcal conjunctivitis,Gonococcal conjunctivitis,Gonococcal infection of eye
A543,2,A5432,Gonococcal iridocyclitis,Gonococcal iridocyclitis,Gonococcal infection of eye
A543,3,A5433,Gonococcal keratitis,Gonococcal keratitis,Gonococcal infection of eye
A543,9,A5439,Other gonococcal eye infection,Other gonococcal eye infection,Gonococcal infection of eye
A544,0,A5440,"Gonococcal infection of musculoskeletal system, unspecified","Gonococcal infection of musculoskeletal system, unspecified",Gonococcal infection of musculoskeletal system
A544,1,A5441,Gonococcal spondylopathy,Gonococcal spondylopathy,Gonococcal infection of musculoskeletal system
A544,2,A5442,Gonococcal arthritis,Gonococcal arthritis,Gonococcal infection of musculoskeletal system
A544,3,A5443,Gonococcal osteomyelitis,Gonococcal osteomyelitis,Gonococcal infection of musculoskeletal system
A544,9,A5449,Gonococcal infection of other musculoskeletal tissue,Gonococcal infection of other musculoskeletal tissue,Gonococcal infection of musculoskeletal system
A545,,A545,Gonococcal pharyngitis,Gonococcal pharyngitis,Gonococcal pharyngitis
A546,,A546,Gonococcal infection of anus and rectum,Gonococcal infection of anus and rectum,Gonococcal infection of anus and rectum
A548,1,A5481,Gonococcal meningitis,Gonococcal meningitis,Other gonococcal infections
A548,2,A5482,Gonococcal brain abscess,Gonococcal brain abscess,Other gonococcal infections
A548,3,A5483,Gonococcal heart infection,Gonococcal heart infection,Other gonococcal infections
A548,4,A5484,Gonococcal pneumonia,Gonococcal pneumonia,Other gonococcal infections
A548,5,A5485,Gonococcal peritonitis,Gonococcal peritonitis,Other gonococcal infections
A548,6,A5486,Gonococcal sepsis,Gonococcal sepsis,Other gonococcal infections
A548,9,A5489,Other gonococcal infections,Other gonococcal infections,Other gonococcal infections
A549,,A549,"Gonococcal infection, unspecified","Gonococcal infection, unspecified","Gonococcal infection, unspecified"
A55,,A55,Chlamydial lymphogranuloma (venereum),Chlamydial lymphogranuloma (venereum),Chlamydial lymphogranuloma (venereum)
A560,0,A5600,"Chlamydial infection of lower genitourinary tract, unsp","Chlamydial infection of lower genitourinary tract, unspecified",Chlamydial infection of lower genitourinary tract
A560,1,A5601,Chlamydial cystitis and urethritis,Chlamydial cystitis and urethritis,Chlamydial infection of lower genitourinary tract
A560,2,A5602,Chlamydial vulvovaginitis,Chlamydial vulvovaginitis,Chlamydial infection of lower genitourinary tract
A560,9,A5609,Other chlamydial infection of lower genitourinary tract,Other chlamydial infection of lower genitourinary tract,Chlamydial infection of lower genitourinary tract
A561,1,A5611,Chlamydial female pelvic inflammatory disease,Chlamydial female pelvic inflammatory disease,Chlamydial infection of pelviperitoneum and other genitourinary organs
A561,9,A5619,Other chlamydial genitourinary infection,Other chlamydial genitourinary infection,Chlamydial infection of pelviperitoneum and other genitourinary organs
A562,,A562,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract, unspecified"
A563,,A563,Chlamydial infection of anus and rectum,Chlamydial infection of anus and rectum,Chlamydial infection of anus and rectum
